source,target,importance
DOCK5,ANKRD17,0.4145790420991685
KANSL1,ANKRD17,0.41919774594283404
IFI16,ANKRD17,0.42271147581101476
HSPB1,ANKRD17,0.423738406006885
IFIT1,ANKRD17,0.4243853834317878
IFIT3,ANKRD17,0.42570906654842755
MX1,ANKRD17,0.4278240570441269
PVT1,ANKRD17,0.43275514202485543
FNIP1,ANKRD17,0.4332521621840718
MAGI1,ANKRD17,0.4339527143456185
NEAT1,ANKRD17,0.4682224788145687
ISG15,ANKRD17,0.48361984445083134
ANKRD17,ANKRD17,1.0
ANKRD17-DT,ANKRD17-DT,0.9999999999997625
ANKRD18B,ANKRD18B,0.9999999999997348
ANKRD23,ANKRD23,1.0
ANKRD26,ANKRD26,1.0
ANKRD27,ANKRD27,1.0
ANKRD28,ANKRD28,0.9999999999999436
ANKRD29,ANKRD29,1.0
ANKRD33B,ANKRD33B,1.0
ANKRD34A,ANKRD34A,0.9999999999998568
ANKRD36,ANKRD36,1.0
ANKRD36B,ANKRD36B,1.0
ANKRD36BP2,ANKRD36BP2,0.99999999999971
ANKRD36C,ANKRD36C,1.0
ANKRD37,ANKRD37,1.0
ANKRD42,ANKRD42,0.9999999999998516
ANKRD42-DT,ANKRD42-DT,0.9999999999998124
ANKRD44,ANKRD44,0.999999999999905
ANKRD46,ANKRD46,0.99999999999984
ANKRD49,ANKRD49,1.0
ANKRD50,ANKRD50,0.9999999999998336
ANKRD53,ANKRD53,0.9999999999999153
ANKRD55,ANKRD55,1.0
ANKRD6,ANKRD6,1.0
ANKRD61,ANKRD61,0.9999999999998072
ANKRD7,ANKRD7,0.9999999999997016
ANKRD9,ANKRD9,1.0
ANKS1A,ANKS1A,1.0
ANKS1B,ANKS1B,1.0
ANKS3,ANKS3,0.9999999999999996
ANKS6,ANKS6,1.0
ANKUB1,ANKUB1,1.0
ANKZF1,ANKZF1,0.9999999999997483
KIF20B,ANLN,0.7357215668932137
STMN1,ANLN,0.7370882368529637
PBK,ANLN,0.7385094707307517
PRR11,ANLN,0.7387400465527295
CENPE,ANLN,0.7397643822039845
HMMR,ANLN,0.7502342196173469
GTSE1,ANLN,0.7502758759771369
BIRC5,ANLN,0.7515485494559889
UBE2C,ANLN,0.7626572608157929
CEP55,ANLN,0.7654328462120731
DLGAP5,ANLN,0.7665883854949915
PTTG1,ANLN,0.7674349898202791
HMGB2,ANLN,0.7759382696464368
ASPM,ANLN,0.7883352550802767
TPX2,ANLN,0.8055930010267296
NUSAP1,ANLN,0.810099280024527
PRC1,ANLN,0.810200836198136
MKI67,ANLN,0.8108496094918196
TOP2A,ANLN,0.8128858831021523
CENPF,ANLN,0.8221204232253572
ANLN,ANLN,1.0
ANO10,ANO10,0.9999999999999819
ANO3,ANO3,1.0
ANO4,ANO4,0.9999999999997665
ANO6,ANO6,0.9999999999999121
ANO8,ANO8,0.9999999999998109
UBE2C,ANP32B,0.544641996725392
IFIT1,ANP32B,0.5466237680217233
PRC1,ANP32B,0.5486334496538031
TPX2,ANP32B,0.5492811855259649
CENPF,ANP32B,0.5495317835860801
TOP2A,ANP32B,0.5573590406450221
NEAT1,ANP32B,0.5601264477600891
NUSAP1,ANP32B,0.5642146990352239
VIM,ANP32B,0.5756883763169165
MX1,ANP32B,0.5796312607507846
IFIT3,ANP32B,0.5827886475753901
RANBP1,ANP32B,0.5859496720999625
ISG15,ANP32B,0.5924496991001925
TMPO,ANP32B,0.5926162993195407
HMGB2,ANP32B,0.6055226505580414
HMGB1,ANP32B,0.6228187726468154
DUT,ANP32B,0.6238446957166831
STMN1,ANP32B,0.6305112474463035
PTMA,ANP32B,0.640751597780348
DEK,ANP32B,0.6608790855772881
ANP32B,ANP32B,1.0
SMC4,ANP32E,0.62256890274928
PBK,ANP32E,0.6232508570240656
GTSE1,ANP32E,0.626337969486295
ANLN,ANP32E,0.6291086198024057
HMMR,ANP32E,0.6307042460530133
BIRC5,ANP32E,0.6333113833936836
TMPO,ANP32E,0.636743134640009
UBE2C,ANP32E,0.6431092373530297
ASPM,ANP32E,0.6476330510349873
STMN1,ANP32E,0.6490378663170805
CEP55,ANP32E,0.6575020648535619
DLGAP5,ANP32E,0.6585002419202112
MKI67,ANP32E,0.6597364752485576
PTTG1,ANP32E,0.6677841273983749
HMGB2,ANP32E,0.668834406668383
TPX2,ANP32E,0.6722043476945408
PRC1,ANP32E,0.6820959786982004
CENPF,ANP32E,0.688054906129587
TOP2A,ANP32E,0.6889969188533982
NUSAP1,ANP32E,0.6909547920250447
ANP32E,ANP32E,1.0
ANPEP,ANPEP,0.9999999999999387
ANTXR1,ANTXR1,0.999999999999907
ANTXR2,ANTXR2,0.999999999999813
ANXA10,ANXA10,0.9999999999998979
ANXA2R,ANXA2R,0.9999999999999504
ANXA2R-AS1,ANXA2R-AS1,0.9999999999999049
ANXA2R-OT1,ANXA2R-OT1,0.9999999999999671
S100A11,ANXA5,0.4308414506880697
S100A6,ANXA5,0.44617479702301116
ANXA5,ANXA5,0.9999999999999939
ANXA6,ANXA6,1.0
PVT1,AOPEP,0.40316717462682816
ISG15,AOPEP,0.4043403263176824
MAGI1,AOPEP,0.4186100464408831
NEAT1,AOPEP,0.44815579107170134
AOPEP,AOPEP,1.0
AOX1,AOX1,0.9999999999998079
